,Party,2019,2014,%2019,%2014,municipality
4,PVDA,1.524,-,"19,35%",-,Zelzate
5,PVDA+,-,1.462,-,"18,28%",Zelzate
6,GROEN,241,301,"3,06%","3,76%",Zelzate
7,sp.a,1.738,1.736,"22,06%","21,70%",Zelzate
8,DierAnimal,76,-,"0,96%",-,Zelzate
9,de coöperatie,11,-,"0,14%",-,Zelzate
10,B.U.B,15,-,"0,19%",-,Zelzate
11,R.O.S.S.E.M.,-,22,-,"0,28%",Zelzate
12,Piratenpartij,-,52,-,"0,65%",Zelzate
13,SD&P,-,4,-,"0,05%",Zelzate
14,B.U.B.-Belg.Unie,-,13,-,"0,16%",Zelzate
15,PVGW,-,9,-,"0,11%",Zelzate
0,Open Vld,5.441,4.920,"25,45%","24,73%",Oudenaarde
1,N-VA,3.879,5.705,"18,14%","28,67%",Oudenaarde
2,VLAAMS BELANG,3.763,710,"17,60%","3,57%",Oudenaarde
3,CD&V,3.067,4.187,"14,35%","21,04%",Oudenaarde
4,PVDA,636,-,"2,97%",-,Oudenaarde
5,PVDA+,-,281,-,"1,41%",Oudenaarde
6,GROEN,2.251,1.797,"10,53%","9,03%",Oudenaarde
7,sp.a,2.095,2.122,"9,80%","10,66%",Oudenaarde
8,DierAnimal,166,-,"0,78%",-,Oudenaarde
9,de coöperatie,28,-,"0,13%",-,Oudenaarde
10,B.U.B,54,-,"0,25%",-,Oudenaarde
11,R.O.S.S.E.M.,-,36,-,"0,18%",Oudenaarde
12,Piratenpartij,-,101,-,"0,51%",Oudenaarde
13,SD&P,-,7,-,"0,04%",Oudenaarde
14,B.U.B.-Belg.Unie,-,21,-,"0,11%",Oudenaarde
15,PVGW,-,11,-,"0,06%",Oudenaarde
0,Open Vld,1.141,1.427,"25,47%","27,37%",Maarkedal
1,N-VA,1.088,1.378,"24,29%","26,43%",Maarkedal
2,VLAAMS BELANG,652,215,"14,55%","4,12%",Maarkedal
3,CD&V,786,993,"17,54%","19,04%",Maarkedal
4,PVDA,119,-,"2,66%",-,Maarkedal
5,PVDA+,-,86,-,"1,65%",Maarkedal
6,GROEN,340,444,"7,59%","8,52%",Maarkedal
7,sp.a,324,621,"7,23%","11,91%",Maarkedal
8,DierAnimal,24,-,"0,54%",-,Maarkedal
9,de coöperatie,2,-,"0,04%",-,Maarkedal
10,B.U.B,4,-,"0,09%",-,Maarkedal
11,R.O.S.S.E.M.,-,8,-,"0,15%",Maarkedal
12,Piratenpartij,-,33,-,"0,63%",Maarkedal
13,SD&P,-,4,-,"0,08%",Maarkedal
14,B.U.B.-Belg.Unie,-,2,-,"0,04%",Maarkedal
15,PVGW,-,3,-,"0,06%",Maarkedal
0,Open Vld,1.329,1.465,"29,13%","27,60%",Wortegem-Petegem
1,N-VA,1.041,1.558,"22,81%","29,35%",Wortegem-Petegem
2,VLAAMS BELANG,765,191,"16,77%","3,60%",Wortegem-Petegem
3,CD&V,607,983,"13,30%","18,52%",Wortegem-Petegem
4,PVDA,103,-,"2,26%",-,Wortegem-Petegem
5,PVDA+,-,65,-,"1,22%",Wortegem-Petegem
6,GROEN,250,444,"5,48%","8,36%",Wortegem-Petegem
7,sp.a,432,555,"9,47%","10,46%",Wortegem-Petegem
8,DierAnimal,28,-,"0,61%",-,Wortegem-Petegem
9,de coöperatie,2,-,"0,04%",-,Wortegem-Petegem
10,B.U.B,6,-,"0,13%",-,Wortegem-Petegem
11,R.O.S.S.E.M.,-,11,-,"0,21%",Wortegem-Petegem
12,Piratenpartij,-,25,-,"0,47%",Wortegem-Petegem
13,SD&P,-,3,-,"0,06%",Wortegem-Petegem
14,B.U.B.-Belg.Unie,-,4,-,"0,08%",Wortegem-Petegem
15,PVGW,-,4,-,"0,08%",Wortegem-Petegem
0,Open Vld,1.998,2.122,"15,41%","15,63%",Eeklo
1,N-VA,2.579,4.010,"19,90%","29,54%",Eeklo
2,VLAAMS BELANG,2.813,919,"21,70%","6,77%",Eeklo
3,CD&V,1.971,2.549,"15,21%","18,78%",Eeklo
4,PVDA,794,-,"6,13%",-,Eeklo
5,PVDA+,-,470,-,"3,46%",Eeklo
6,GROEN,1.140,1.354,"8,79%","9,97%",Eeklo
7,sp.a,1.457,1.920,"11,24%","14,14%",Eeklo
8,DierAnimal,161,-,"1,24%",-,Eeklo
9,de coöperatie,10,-,"0,08%",-,Eeklo
10,B.U.B,39,-,"0,30%",-,Eeklo
11,R.O.S.S.E.M.,-,49,-,"0,36%",Eeklo
12,Piratenpartij,-,132,-,"0,97%",Eeklo
13,SD&P,-,13,-,"0,10%",Eeklo
14,B.U.B.-Belg.Unie,-,21,-,"0,15%",Eeklo
15,PVGW,-,15,-,"0,11%",Eeklo
0,Open Vld,3.620,2.802,"22,53%","17,65%",Maldegem
1,N-VA,3.337,5.159,"20,77%","32,49%",Maldegem
2,VLAAMS BELANG,3.166,910,"19,70%","5,73%",Maldegem
3,CD&V,2.737,3.787,"17,03%","23,85%",Maldegem
4,PVDA,594,-,"3,70%",-,Maldegem
5,PVDA+,-,337,-,"2,12%",Maldegem
6,GROEN,1.092,1.253,"6,80%","7,89%",Maldegem
7,sp.a,1.300,1.401,"8,09%","8,82%",Maldegem
8,DierAnimal,165,-,"1,03%",-,Maldegem
9,de coöperatie,21,-,"0,13%",-,Maldegem
10,B.U.B,37,-,"0,23%",-,Maldegem
11,R.O.S.S.E.M.,-,57,-,"0,36%",Maldegem
12,Piratenpartij,-,132,-,"0,83%",Maldegem
13,SD&P,-,11,-,"0,07%",Maldegem
14,B.U.B.-Belg.Unie,-,16,-,"0,10%",Maldegem
15,PVGW,-,12,-,"0,08%",Maldegem
0,Open Vld,1.039,1.143,"19,78%","24,52%",Sint-Laureins
1,N-VA,908,1.205,"17,29%","25,85%",Sint-Laureins
2,VLAAMS BELANG,1.034,213,"19,69%","4,57%",Sint-Laureins
3,CD&V,1.126,1.201,"21,44%","25,77%",Sint-Laureins
4,PVDA,260,-,"4,95%",-,Sint-Laureins
5,PVDA+,-,111,-,"2,38%",Sint-Laureins
6,GROEN,355,345,"6,76%","7,40%",Sint-Laureins
7,sp.a,453,386,"8,63%","8,28%",Sint-Laureins
8,DierAnimal,51,-,"0,97%",-,Sint-Laureins
9,de coöperatie,9,-,"0,17%",-,Sint-Laureins
10,B.U.B,17,-,"0,32%",-,Sint-Laureins
11,R.O.S.S.E.M.,-,12,-,"0,26%",Sint-Laureins
12,Piratenpartij,-,34,-,"0,73%",Sint-Laureins
13,SD&P,-,3,-,"0,06%",Sint-Laureins
14,B.U.B.-Belg.Unie,-,3,-,"0,06%",Sint-Laureins
15,PVGW,-,5,-,"0,11%",Sint-Laureins
0,Open Vld,2.847,3.370,"11,86%","14,48%",Evergem
1,N-VA,6.081,7.587,"25,34%","32,61%",Evergem
2,VLAAMS BELANG,5.368,1.569,"22,37%","6,74%",Evergem
3,CD&V,3.731,4.648,"15,55%","19,98%",Evergem
4,PVDA,1.474,-,"6,14%",-,Evergem
5,PVDA+,-,736,-,"3,16%",Evergem
6,GROEN,1.817,2.040,"7,57%","8,77%",Evergem
7,sp.a,2.231,2.930,"9,30%","12,59%",Evergem
8,DierAnimal,373,-,"1,55%",-,Evergem
9,de coöperatie,29,-,"0,12%",-,Evergem
10,B.U.B,50,-,"0,21%",-,Evergem
11,R.O.S.S.E.M.,-,96,-,"0,41%",Evergem
12,Piratenpartij,-,212,-,"0,91%",Evergem
13,SD&P,-,23,-,"0,10%",Evergem
14,B.U.B.-Belg.Unie,-,30,-,"0,13%",Evergem
15,PVGW,-,25,-,"0,11%",Evergem
0,Open Vld,2.802,-,"13,97%",-,Aalter
1,N-VA,4.387,-,"21,87%",-,Aalter
2,VLAAMS BELANG,3.3710000000000004,-,"16,80%",-,Aalter
3,CD&V,4.749,-,"23,67%",-,Aalter
4,PVDA,732.0,-,"3,65%",-,Aalter
5,GROEN,2.211,-,"11,02%",-,Aalter
6,sp.a,1.5,-,"7,48%",-,Aalter
7,DierAnimal,257.0,-,"1,28%",-,Aalter
8,de coöperatie,21.0,-,"0,10%",-,Aalter
9,B.U.B,30.0,-,"0,15%",-,Aalter
0,Open Vld,3.103,3.038,"9,63%","9,30%",Beveren
1,N-VA,9.686,13.098,"30,06%","40,09%",Beveren
2,VLAAMS BELANG,8.127,2.761,"25,22%","8,45%",Beveren
3,CD&V,4.368,6.796,"13,55%","20,80%",Beveren
4,PVDA,1.441,-,"4,47%",-,Beveren
5,PVDA+,-,842,-,"2,58%",Beveren
6,GROEN,2.670,2.776,"8,29%","8,50%",Beveren
7,sp.a,2.445,2.965,"7,59%","9,08%",Beveren
8,DierAnimal,281,-,"0,87%",-,Beveren
9,de coöperatie,45,-,"0,14%",-,Beveren
10,B.U.B,60,-,"0,19%",-,Beveren
11,R.O.S.S.E.M.,-,85,-,"0,26%",Beveren
12,Piratenpartij,-,226,-,"0,69%",Beveren
13,SD&P,-,21,-,"0,06%",Beveren
14,B.U.B.-Belg.Unie,-,38,-,"0,12%",Beveren
15,PVGW,-,25,-,"0,08%",Beveren
0,Open Vld,3.210,3.165,"31,73%","31,06%",Brakel
1,N-VA,1.405,2.523,"13,89%","24,76%",Brakel
2,VLAAMS BELANG,2.134,484,"21,09%","4,75%",Brakel
3,CD&V,1.141,1.808,"11,28%","17,74%",Brakel
4,PVDA,395,-,"3,90%",-,Brakel
5,PVDA+,-,212,-,"2,08%",Brakel
6,GROEN,592,557,"5,85%","5,47%",Brakel
7,sp.a,1.094,1.322,"10,81%","12,97%",Brakel
8,DierAnimal,120,-,"1,19%",-,Brakel
9,de coöperatie,9,-,"0,09%",-,Brakel
10,B.U.B,18,-,"0,18%",-,Brakel
11,R.O.S.S.E.M.,-,19,-,"0,19%",Brakel
12,Piratenpartij,-,74,-,"0,73%",Brakel
13,SD&P,-,7,-,"0,07%",Brakel
14,B.U.B.-Belg.Unie,-,12,-,"0,12%",Brakel
15,PVGW,-,8,-,"0,08%",Brakel
0,Open Vld,1.038,1.147,"22,42%","24,72%",Lierde
1,N-VA,845,1.410,"18,25%","30,39%",Lierde
2,VLAAMS BELANG,1.070,236,"23,11%","5,09%",Lierde
3,CD&V,691,811,"14,92%","17,48%",Lierde
4,PVDA,178,-,"3,84%",-,Lierde
5,PVDA+,-,71,-,"1,53%",Lierde
6,GROEN,247,259,"5,33%","5,58%",Lierde
7,sp.a,503,650,"10,86%","14,01%",Lierde
8,DierAnimal,53,-,"1,14%",-,Lierde
9,de coöperatie,3,-,"0,06%",-,Lierde
10,B.U.B,2,-,"0,04%",-,Lierde
11,R.O.S.S.E.M.,-,9,-,"0,19%",Lierde
12,Piratenpartij,-,37,-,"0,80%",Lierde
13,SD&P,-,4,-,"0,09%",Lierde
14,B.U.B.-Belg.Unie,-,5,-,"0,11%",Lierde
15,PVGW,-,1,-,"0,02%",Lierde
0,Open Vld,5.527,-,"18,80%",-,Deinze
1,N-VA,6.812,-,"23,17%",-,Deinze
2,VLAAMS BELANG,4.6819999999999995,-,"15,92%",-,Deinze
3,CD&V,5.334,-,"18,14%",-,Deinze
4,PVDA,1.114,-,"3,79%",-,Deinze
5,GROEN,2.8930000000000002,-,"9,84%",-,Deinze
6,sp.a,2.596,-,"8,83%",-,Deinze
7,DierAnimal,335.0,-,"1,14%",-,Deinze
8,de coöperatie,32.0,-,"0,11%",-,Deinze
9,B.U.B,77.0,-,"0,26%",-,Deinze
0,Open Vld,2.246,2.089,"21,15%","19,62%",Zulte
1,N-VA,2.203,3.586,"20,74%","33,68%",Zulte
2,VLAAMS BELANG,2.239,525,"21,08%","4,93%",Zulte
3,CD&V,1.971,2.449,"18,56%","23,00%",Zulte
4,PVDA,309,-,"2,91%",-,Zulte
5,PVDA+,-,131,-,"1,23%",Zulte
6,GROEN,689,710,"6,49%","6,67%",Zulte
7,sp.a,829,1.037,"7,81%","9,74%",Zulte
8,DierAnimal,104,-,"0,98%",-,Zulte
9,de coöperatie,4,-,"0,04%",-,Zulte
10,B.U.B,27,-,"0,25%",-,Zulte
11,R.O.S.S.E.M.,-,35,-,"0,33%",Zulte
12,Piratenpartij,-,62,-,"0,58%",Zulte
13,SD&P,-,4,-,"0,04%",Zulte
14,B.U.B.-Belg.Unie,-,10,-,"0,09%",Zulte
15,PVGW,-,8,-,"0,08%",Zulte
0,Open Vld,2.964,2.759,"23,20%","21,99%",Destelbergen
1,N-VA,3.280,4.290,"25,67%","34,19%",Destelbergen
2,VLAAMS BELANG,1.786,571,"13,98%","4,55%",Destelbergen
3,CD&V,1.294,1.839,"10,13%","14,66%",Destelbergen
4,PVDA,681,-,"5,33%",-,Destelbergen
5,PVDA+,-,328,-,"2,61%",Destelbergen
6,GROEN,1.465,1.216,"11,47%","9,69%",Destelbergen
7,sp.a,1.125,1.391,"8,80%","11,09%",Destelbergen
8,DierAnimal,113,-,"0,88%",-,Destelbergen
9,de coöperatie,14,-,"0,11%",-,Destelbergen
10,B.U.B,55,-,"0,43%",-,Destelbergen
11,R.O.S.S.E.M.,-,29,-,"0,23%",Destelbergen
12,Piratenpartij,-,100,-,"0,80%",Destelbergen
13,SD&P,-,9,-,"0,07%",Destelbergen
14,B.U.B.-Belg.Unie,-,11,-,"0,09%",Destelbergen
15,PVGW,-,5,-,"0,04%",Destelbergen
0,Open Vld,31.440,26.757,"19,34%","16,87%",Gent
1,N-VA,25.945,34.679,"15,96%","21,87%",Gent
2,VLAAMS BELANG,19.046,8.459,"11,72%","5,33%",Gent
3,CD&V,12.701,20.594,"7,81%","12,99%",Gent
4,PVDA,16.560,-,"10,19%",-,Gent
5,PVDA+,-,7.664,-,"4,83%",Gent
6,GROEN,33.140,26.005,"20,39%","16,40%",Gent
7,sp.a,20.748,31.426,"12,76%","19,82%",Gent
8,DierAnimal,2.192,-,"1,35%",-,Gent
9,de coöperatie,240,-,"0,15%",-,Gent
10,B.U.B,558,-,"0,34%",-,Gent
11,R.O.S.S.E.M.,-,410,-,"0,26%",Gent
12,Piratenpartij,-,2.024,-,"1,28%",Gent
13,SD&P,-,145,-,"0,09%",Gent
14,B.U.B.-Belg.Unie,-,292,-,"0,18%",Gent
15,PVGW,-,117,-,"0,07%",Gent
0,ECOLO,799,473,"9,97%","5,63%",Couvin
1,CDH,1.072,1.475,"13,37%","17,56%",Couvin
2,MR,1.468,1.945,"18,32%","23,15%",Couvin
3,PARTI POPULAIRE,254,414,"3,17%","4,93%",Couvin
4,VLAAMS BELANG,65,-,"0,81%",-,Couvin
5,DéFI,254,-,"3,17%",-,Couvin
6,FDF,-,161,-,"1,92%",Couvin
7,PTB,1.313,-,"16,38%",-,Couvin
8,PTB-GO!,-,463,-,"5,51%",Couvin
9,LISTES DESTEXHE,66,-,"0,82%",-,Couvin
10,PS,2.257,2.797,"28,16%","33,29%",Couvin
11,DierAnimal,96,-,"1,20%",-,Couvin
12,NATION,216,64,"2,69%","0,76%",Couvin
13,Collectif Citoyen,60,-,"0,75%",-,Couvin
14,LA DROITE,52,130,"0,65%","1,55%",Couvin
15,AGIR,43,-,"0,54%",-,Couvin
16,MG,-,7,-,"0,08%",Couvin
17,DEBOUT LES BELGES,-,294,-,"3,50%",Couvin
18,R.W.F.,-,78,-,"0,93%",Couvin
19,B.U.B.- Belg.Unie,-,24,-,"0,29%",Couvin
20,FW,-,27,-,"0,32%",Couvin
21,NWA,-,15,-,"0,18%",Couvin
22,Vox Populi Belgica,-,35,-,"0,42%",Couvin
0,ECOLO,290,225,"8,10%","6,14%",Viroinval
1,CDH,564,476,"15,75%","12,99%",Viroinval
2,MR,408,645,"11,39%","17,61%",Viroinval
3,PARTI POPULAIRE,118,155,"3,30%","4,23%",Viroinval
4,VLAAMS BELANG,29,-,"0,81%",-,Viroinval
5,DéFI,84,-,"2,35%",-,Viroinval
6,FDF,-,100,-,"2,73%",Viroinval
7,PTB,500,-,"13,96%",-,Viroinval
8,PTB-GO!,-,199,-,"5,43%",Viroinval
9,LISTES DESTEXHE,28,-,"0,78%",-,Viroinval
10,PS,1.370,1.610,"38,26%","43,95%",Viroinval
11,DierAnimal,40,-,"1,12%",-,Viroinval
12,NATION,69,21,"1,93%","0,57%",Viroinval
13,Collectif Citoyen,33,-,"0,92%",-,Viroinval
14,LA DROITE,31,62,"0,87%","1,69%",Viroinval
15,AGIR,17,-,"0,47%",-,Viroinval
16,MG,-,2,-,"0,05%",Viroinval
17,DEBOUT LES BELGES,-,93,-,"2,54%",Viroinval
18,R.W.F.,-,27,-,"0,74%",Viroinval
19,B.U.B.- Belg.Unie,-,8,-,"0,22%",Viroinval
20,FW,-,15,-,"0,41%",Viroinval
21,NWA,-,12,-,"0,33%",Viroinval
22,Vox Populi Belgica,-,13,-,"0,35%",Viroinval
0,ECOLO,550,340,"12,59%","7,76%",Anhee
1,CDH,1.102,1.356,"25,23%","30,96%",Anhee
2,MR,668,951,"15,29%","21,71%",Anhee
3,PARTI POPULAIRE,97,169,"2,22%","3,86%",Anhee
4,VLAAMS BELANG,34,-,"0,78%",-,Anhee
5,DéFI,208,-,"4,76%",-,Anhee
6,FDF,-,93,-,"2,12%",Anhee
7,PTB,592,-,"13,55%",-,Anhee
8,PTB-GO!,-,230,-,"5,25%",Anhee
9,LISTES DESTEXHE,44,-,"1,01%",-,Anhee
10,PS,881,993,"20,17%","22,67%",Anhee
11,DierAnimal,77,-,"1,76%",-,Anhee
12,NATION,24,27,"0,55%","0,62%",Anhee
13,Collectif Citoyen,30,-,"0,69%",-,Anhee
14,LA DROITE,36,63,"0,82%","1,44%",Anhee
15,AGIR,25,-,"0,57%",-,Anhee
16,MG,-,5,-,"0,11%",Anhee
17,DEBOUT LES BELGES,-,72,-,"1,64%",Anhee
18,R.W.F.,-,43,-,"0,98%",Anhee
19,B.U.B.- Belg.Unie,-,7,-,"0,16%",Anhee
20,FW,-,8,-,"0,18%",Anhee
21,NWA,-,8,-,"0,18%",Anhee
22,Vox Populi Belgica,-,15,-,"0,34%",Anhee
0,ECOLO,972,628,"12,30%","7,78%",Dinant
1,CDH,1.421,1.345,"17,98%","16,66%",Dinant
2,MR,1.802,2.788,"22,80%","34,53%",Dinant
3,PARTI POPULAIRE,229,301,"2,90%","3,73%",Dinant
4,VLAAMS BELANG,63,-,"0,80%",-,Dinant
5,DéFI,300,-,"3,80%",-,Dinant
6,FDF,-,191,-,"2,37%",Dinant
7,PTB,1.070,-,"13,54%",-,Dinant
8,PTB-GO!,-,376,-,"4,66%",Dinant
9,LISTES DESTEXHE,115,-,"1,46%",-,Dinant
10,PS,1.599,1.894,"20,23%","23,46%",Dinant
11,DierAnimal,98,-,"1,24%",-,Dinant
12,NATION,43,61,"0,54%","0,76%",Dinant
13,Collectif Citoyen,73,-,"0,92%",-,Dinant
14,LA DROITE,87,148,"1,10%","1,83%",Dinant
15,AGIR,31,-,"0,39%",-,Dinant
16,MG,-,14,-,"0,17%",Dinant
17,DEBOUT LES BELGES,-,176,-,"2,18%",Dinant
18,R.W.F.,-,53,-,"0,66%",Dinant
19,B.U.B.- Belg.Unie,-,25,-,"0,31%",Dinant
20,FW,-,15,-,"0,19%",Dinant
21,NWA,-,26,-,"0,32%",Dinant
22,Vox Populi Belgica,-,33,-,"0,41%",Dinant
0,ECOLO,297,235,"7,99%","6,58%",Hastiere
1,CDH,329,433,"8,85%","12,12%",Hastiere
2,MR,434,767,"11,67%","21,47%",Hastiere
3,PARTI POPULAIRE,141,154,"3,79%","4,31%",Hastiere
4,VLAAMS BELANG,82,-,"2,21%",-,Hastiere
5,DéFI,121,-,"3,25%",-,Hastiere
6,FDF,-,87,-,"2,44%",Hastiere
7,PTB,487,-,"13,10%",-,Hastiere
8,PTB-GO!,-,156,-,"4,37%",Hastiere
9,LISTES DESTEXHE,72,-,"1,94%",-,Hastiere
10,PS,1.615,1.446,"43,44%","40,48%",Hastiere
11,DierAnimal,42,-,"1,13%",-,Hastiere
12,NATION,7,12,"0,19%","0,34%",Hastiere
13,Collectif Citoyen,38,-,"1,02%",-,Hastiere
14,LA DROITE,28,96,"0,75%","2,69%",Hastiere
15,AGIR,25,-,"0,67%",-,Hastiere
16,MG,-,8,-,"0,22%",Hastiere
17,DEBOUT LES BELGES,-,75,-,"2,10%",Hastiere
18,R.W.F.,-,44,-,"1,23%",Hastiere
19,B.U.B.- Belg.Unie,-,11,-,"0,31%",Hastiere
20,FW,-,18,-,"0,50%",Hastiere
21,NWA,-,12,-,"0,34%",Hastiere
22,Vox Populi Belgica,-,18,-,"0,50%",Hastiere
0,ECOLO,236,148,"11,45%","7,41%",Onhaye
1,CDH,453,484,"21,98%","24,24%",Onhaye
2,MR,468,622,"22,71%","31,15%",Onhaye
3,PARTI POPULAIRE,69,50,"3,35%","2,50%",Onhaye
4,VLAAMS BELANG,16,-,"0,78%",-,Onhaye
5,DéFI,64,-,"3,11%",-,Onhaye
6,FDF,-,27,-,"1,35%",Onhaye
7,PTB,220,-,"10,67%",-,Onhaye
8,PTB-GO!,-,85,-,"4,26%",Onhaye
9,LISTES DESTEXHE,54,-,"2,62%",-,Onhaye
10,PS,413,453,"20,04%","22,68%",Onhaye
11,DierAnimal,12,-,"0,58%",-,Onhaye
12,NATION,7,7,"0,34%","0,35%",Onhaye
13,Collectif Citoyen,22,-,"1,07%",-,Onhaye
14,LA DROITE,17,34,"0,82%","1,70%",Onhaye
15,AGIR,10,-,"0,49%",-,Onhaye
16,MG,-,1,-,"0,05%",Onhaye
17,DEBOUT LES BELGES,-,44,-,"2,20%",Onhaye
18,R.W.F.,-,27,-,"1,35%",Onhaye
19,B.U.B.- Belg.Unie,-,3,-,"0,15%",Onhaye
20,FW,-,1,-,"0,05%",Onhaye
21,NWA,-,1,-,"0,05%",Onhaye
22,Vox Populi Belgica,-,10,-,"0,50%",Onhaye
0,ECOLO,1.141,734,"19,85%","12,93%",Yvoir
1,CDH,1.033,878,"17,97%","15,47%",Yvoir
2,MR,1.200,1.805,"20,88%","31,81%",Yvoir
3,PARTI POPULAIRE,150,222,"2,61%","3,91%",Yvoir
4,VLAAMS BELANG,45,-,"0,78%",-,Yvoir
5,DéFI,427,-,"7,43%",-,Yvoir
6,FDF,-,181,-,"3,19%",Yvoir
7,PTB,660,-,"11,48%",-,Yvoir
8,PTB-GO!,-,293,-,"5,16%",Yvoir
9,LISTES DESTEXHE,80,-,"1,39%",-,Yvoir
10,PS,807,1.305,"14,04%","23,00%",Yvoir
11,DierAnimal,75,-,"1,31%",-,Yvoir
12,NATION,25,12,"0,44%","0,21%",Yvoir
13,Collectif Citoyen,38,-,"0,66%",-,Yvoir
14,LA DROITE,41,68,"0,71%","1,20%",Yvoir
15,AGIR,25,-,"0,44%",-,Yvoir
16,MG,-,2,-,"0,04%",Yvoir
17,DEBOUT LES BELGES,-,78,-,"1,37%",Yvoir
18,R.W.F.,-,48,-,"0,85%",Yvoir
19,B.U.B.- Belg.Unie,-,18,-,"0,32%",Yvoir
20,FW,-,6,-,"0,11%",Yvoir
21,NWA,-,12,-,"0,21%",Yvoir
22,Vox Populi Belgica,-,13,-,"0,23%",Yvoir
0,ECOLO,694,465,"9,91%","6,62%",Florennes
1,CDH,1.476,1.359,"21,07%","19,33%",Florennes
2,MR,1.453,1.759,"20,74%","25,02%",Florennes
3,PARTI POPULAIRE,355,368,"5,07%","5,24%",Florennes
4,VLAAMS BELANG,63,-,"0,90%",-,Florennes
5,DéFI,187,-,"2,67%",-,Florennes
6,FDF,-,338,-,"4,81%",Florennes
7,PTB,955,-,"13,63%",-,Florennes
8,PTB-GO!,-,281,-,"4,00%",Florennes
9,LISTES DESTEXHE,105,-,"1,50%",-,Florennes
10,PS,1.387,1.975,"19,80%","28,10%",Florennes
11,DierAnimal,69,-,"0,98%",-,Florennes
12,NATION,53,68,"0,76%","0,97%",Florennes
